'head' : '{components:{"minecraft:dyed_color":{rgb:13889261}},count:1,id:"minecraft:leather_helmet"}',
'chest' : '{components:{"minecraft:dyed_color":{rgb:1481884}},count:1,id:"minecraft:leather_chestplate"}',
'legs' : '',
'feet' : '{components:{"minecraft:enchantments":{levels:{"path_speed_enchantment:path_speed":3}},"minecraft:trim":{material:"oreganized:lead",pattern:"minecraft:flow"}},count:1,id:"oreganized:silver_boots"}',
'offhand' : '',
0 : '{count:1,id:"minecraft:wooden_spear"}',
1 : '',
2 : '',
3 : '',
4 : '',
5 : '',
6 : '',
7 : '{count:16,id:"minecraft:cooked_chicken"}',
8 : '{count:1,id:"parcool:parcool_guide"}',
9 : '',
10 : '',
11 : '',
12 : '',
13 : '',
14 : '',
15 : '',
16 : '',
17 : '',
18 : '',
19 : '',
20 : '',
21 : '',
22 : '',
23 : '',
24 : '',
25 : '',
26 : '',
27 : '',
28 : '',
29 : '',
30 : '',
31 : '',
32 : '',
33 : '',
34 : '',
35 : '',
'effects' : '',
